Recording Date,set(s),rep(s),duration (s)
1/15/2024 8:48 PM,3,5,5
10/23/2023 9:07 PM,3,5,5
10/17/2023 7:20 AM,3,5,5
10/12/2023 8:30 PM,3,5,5
10/10/2023 5:03 PM,2,5,5
5/15/2023 9:42 PM,3,5,5
5/9/2023 6:52 AM,3,5,5
4/30/2023 3:34 PM,3,5,5
4/23/2023 11:36 AM,3,5,5
4/10/2023 1:08 PM,3,5,5
4/9/2023 2:17 PM,2,5,5
4/8/2023 10:12 PM,2,5,5
4/4/2023 9:18 PM,2,5,5
3/31/2023 4:15 PM,2,5,5
3/21/2023 8:42 PM,2,5,5
3/18/2023 10:56 AM,3,5,5
3/17/2023 10:50 PM,3,5,5
3/3/2023 10:23 AM,3,5,5
2/17/2023 9:54 PM,2,5,5
2/8/2023 8:35 AM,3,5,5
2/7/2023 6:30 AM,2,5,5
2/3/2023 10:00 PM,2,5,5
2/1/2023 9:00 PM,2,5,5
1/29/2023 8:11 PM,2,5,5
1/26/2023 4:14 PM,2,5,5
1/24/2023 7:40 PM,2,5,5
1/21/2023 2:05 PM,2,5,5
1/17/2023 7:56 AM,2,5,5
1/15/2023 11:31 AM,2,5,5
